通用源,#genre#  
#1920x1080
CCTV-1 综合,rtsp://115.85.205.19/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-1 综合,rtsp://115.85.232.19/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-1 综合,rtsp://116.176.26.18/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-1 综合,rtsp://116.176.26.19/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-1 综合,rtsp://124.152.124.50/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-1 综合,rtsp://180.95.143.19/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-1 综合,rtsp://221.7.61.147/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-1 综合,rtsp://60.13.23.179/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-1 综合,rtsp://60.13.27.115/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-1 综合,rtsp://60.13.39.19/PLTV/88888910/224/3221225567/10000100000000060000000000107347_0.smil
CCTV-2 财经,rtsp://60.13.39.19/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-2 财经,rtsp://115.85.205.19/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-2 财经,rtsp://115.85.232.19/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-2 财经,rtsp://116.176.26.18/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-2 财经,rtsp://116.176.26.19/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-2 财经,rtsp://124.152.124.50/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-2 财经,rtsp://180.95.143.19/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-2 财经,rtsp://221.7.61.147/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-2 财经,rtsp://60.13.23.179/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-2 财经,rtsp://60.13.27.115/PLTV/88888910/224/3221225568/10000100000000060000000000107348_0.smil
CCTV-3 综艺,rtsp://115.85.205.19/PLTV/88888910/224/3221225598/10000100000000060000000000295671_0.smil
CCTV-3 综艺,rtsp://115.85.232.19/PLTV/88888910/224/3221225598/10000100000000060000000000295671_0.smil
CCTV-3 综艺,rtsp://116.176.26.18/PLTV/88888910/224/3221225598/10000100000000060000000000295671_0.smil
CCTV-3 综艺,rtsp://116.176.26.19/PLTV/88888910/224/3221225598/10000100000000060000000000295671_0.smil
CCTV-3 综艺,rtsp://124.152.124.50/PLTV/88888910/224/3221225598/10000100000000060000000000295671_0.smil
CCTV-3 综艺,rtsp://180.95.143.19/PLTV/88888910/224/3221225598/10000100000000060000000000295671_0.smil
